name,industry,office,size,review_counts,salaries_count,jobs_count,interviews_count,benefits_count,website,company_type,revenue,head_quarter,founded,interview_possitive,interview_negative,interview_neutral,interview_difficulty,benefits_score,rating,total_insurance_health_wellness_benefits,health_insurance,dental_insurance,FSA,vision insurance,HSA,life_insurance,supplemental_life_insurance,disability_insurance,occupational_accident_insurance,health_care_on_site,mental_health_care,retiree_health_and_medical,accidental_death_and_dismemberment_insurance,total_financial_retirement_benefits,pension_plan,plan_401K,retirement_plan,employee_stock_purcase_plan,performance_bonus,stock_options,equity_incentive_plan,supplemental_workers_compensation,charity_gift_matching,total_family_parenting_benefits,maternity_paternity_leave,work_from_home,fertility_assistance,dependent_care,adoption_assistance,childcare,flexible_hour,military_leave,family_medical_leave,unpaid_extended_leave,total_vacation_time_off_benefits,vacation_paid_time_off,sick_days,paid_holidays,volunteer_time_off,sabbatical,bereavement_leave,total_perk_discounts_benefits,employee_discount,free_lunch_or_snacks,employee_assistance_program,gym_membership,commuter_checks_and_assistance,pet_friendly_worksplace,mobile_phone_discount,company_car,company_social_events,travel_concierge,legal_assistance,total_professional_support_benefits,diversity_program,job_training,professional_development,apprenticeship,tuition_assistance,category,state,company_rank
MSC Software,Computer Hardware & Software,5,1,153.0,173.0,4.0,35.0,24.0,https://www.mscsoftware.com/,Subsidiary or Business Segment,3,"Newport Beach, CA",1963.0,0.79,0.12,0.09,2.7,3.8,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Technology, CA,1
Sonus Networks,Telecommunications Manufacturing,10,1,322.0,215.0,11.0,75.0,80.0,https://www.sonus.net/,Public,3,"Westford, MA",1997.0,0.72,0.13,0.15,3.0,3.5,4.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Telecommunications, MA,1
University of Memphis,Colleges & Universities,1,1,401.0,503.0,39.0,34.0,71.0,https://www.memphis.edu/,Education,3,"Memphis, TN",1912.0,0.74,0.26,0.07,2.4,3.7,4.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,4,1,1,1,0,1,Education, TN,1
Roku,IT Services,13,1,304.0,589.0,228.0,172.0,101.0,https://www.roku.com/,Public,5,"San Jose, CA",2002.0,0.43,0.43,0.14,2.9,3.0,4.1,6,1,1,0,1,1,1,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,Information Technology, CA,1
Irvine Company,Real Estate,15,1,732.0,1100.0,60.0,148.0,212.0,https://www.irvinecompany.com/,Private,2,"Newport Beach, CA",1864.0,0.62,0.16,0.22,2.8,4.0,4.1,9,1,1,1,1,1,1,1,1,0,0,1,0,0,3,0,1,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,1,0,4,1,1,1,0,0,1,5,1,1,1,0,0,0,1,0,1,0,0,3,0,1,1,0,1,Real Estate, CA,1
The University of Vermont Medical Center,Health Care Services & Hospitals,4,2,182.0,297.0,493.0,24.0,39.0,https://www.uvmhealth.org/medcenter,Nonprofit Organization,5,"Burlington, VT",1879.0,0.61,0.22,0.17,2.7,4.4,4.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Health Care Services & Hospitals, VT,1
DHL,Logistics & Supply Chain,1,3,551.0,156.0,1000.0,50.0,96.0,https://www.dhl.com/en.html,Private,2,"Bonn, Germany",1969.0,0.59,0.24,0.16,2.7,3.3,4.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Transportation & Logistics, Germany,1
RDI,Advertising & Marketing,11,1,390.0,280.0,18.0,53.0,54.0,https://www.rdicorp.com/,Private,2,"Cincinnati, OH",1978.0,0.6,0.19,0.21,1.8,2.2,4.1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,Business Services, OH,1
UC Santa Cruz,Colleges & Universities,2,1,760.0,1200.0,144.0,97.0,146.0,https://www.ucsc.edu/,Education,3,"Santa Cruz, CA",1965.0,0.79,0.03,0.18,2.4,3.7,4.1,5,1,1,0,1,0,0,0,1,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,4,1,1,1,0,1,Education, CA,1
Army National Guard,Federal Agencies,8,3,1100.0,848.0,8600.0,83.0,293.0,https://www.nationalguard.com/,Government,2,"Arlington, VA",1952.0,0.71,0.03,0.26,2.5,4.3,4.1,9,1,1,0,1,0,1,0,1,1,1,0,1,1,3,1,1,1,0,0,0,0,0,0,5,1,1,0,1,0,0,0,1,1,0,4,1,1,1,0,0,1,5,1,0,1,1,0,0,0,0,1,0,1,5,1,1,1,1,1,Goverment, VA,1
