name,industry,office,size,review_counts,salaries_count,jobs_count,interviews_count,benefits_count,website,company_type,revenue,head_quarter,founded,interview_possitive,interview_negative,interview_neutral,interview_difficulty,benefits_score,rating,total_insurance_health_wellness_benefits,health_insurance,dental_insurance,FSA,vision insurance,HSA,life_insurance,supplemental_life_insurance,disability_insurance,occupational_accident_insurance,health_care_on_site,mental_health_care,retiree_health_and_medical,accidental_death_and_dismemberment_insurance,total_financial_retirement_benefits,pension_plan,plan_401K,retirement_plan,employee_stock_purcase_plan,performance_bonus,stock_options,equity_incentive_plan,supplemental_workers_compensation,charity_gift_matching,total_family_parenting_benefits,maternity_paternity_leave,work_from_home,fertility_assistance,dependent_care,adoption_assistance,childcare,flexible_hour,military_leave,family_medical_leave,unpaid_extended_leave,total_vacation_time_off_benefits,vacation_paid_time_off,sick_days,paid_holidays,volunteer_time_off,sabbatical,bereavement_leave,total_perk_discounts_benefits,employee_discount,free_lunch_or_snacks,employee_assistance_program,gym_membership,commuter_checks_and_assistance,pet_friendly_worksplace,mobile_phone_discount,company_car,company_social_events,travel_concierge,legal_assistance,total_professional_support_benefits,diversity_program,job_training,professional_development,apprenticeship,tuition_assistance,category,state,company_rank
UPMC,Health Care Services & Hospitals,45,3,2200.0,4800.0,3400.0,429.0,616.0,https://www.upmc.com/,Nonprofit Organization,8,"Pittsburgh, PA",1982.0,0.55,0.18,0.28,2.6,3.7,3.6,11,1,1,1,1,1,1,1,1,0,1,1,0,1,4,1,1,1,0,0,0,0,1,0,7,1,1,0,0,1,0,1,1,1,1,4,1,1,1,0,0,1,7,1,0,1,1,0,0,1,0,1,1,1,4,1,1,1,0,1,Health Care Services & Hospitals, PA,0
Wayfair,Home Furniture & Housewares Stores,2,3,3000.0,7600.0,1800.0,2000.0,847.0,https://www.wayfair.com/,Public,7,"Boston, MA",2002.0,0.5,0.3,0.21,2.8,3.8,3.6,10,1,1,1,1,1,1,0,1,1,0,1,0,1,6,0,1,1,1,1,1,1,0,0,5,1,1,1,0,0,0,0,0,1,1,5,1,1,1,1,0,1,7,1,1,0,1,1,0,1,0,1,0,1,3,0,1,1,0,1,Retail, MA,0
University of Phoenix,Colleges & Universities,30,1,2000.0,2300.0,57.0,374.0,678.0,https://jobs.phoenix.edu/,Education,3,"Phoenix, AZ",1976.0,0.55,0.14,0.31,2.8,3.6,3.5,10,1,1,1,1,1,1,1,1,0,0,1,0,1,4,0,1,1,1,0,1,0,0,0,7,1,1,0,0,1,1,0,1,1,1,5,1,1,1,1,0,1,4,1,0,1,0,0,0,1,0,1,0,0,3,0,1,1,0,1,Education, AZ,0
Pitney Bowes,Computer Hardware & Software,25,3,2000.0,2200.0,291.0,282.0,664.0,https://www.pitneybowes.com/,Public,6,"Stamford, CT",1920.0,0.48,0.31,0.2,2.7,3.7,3.5,13,1,1,1,1,1,1,1,1,1,1,1,1,1,8,0,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,5,1,1,1,0,1,1,4,1,0,1,0,0,0,1,0,0,0,1,4,1,1,1,0,1,Information Technology, CT,0
Reynolds and Reynolds,Computer Hardware & Software,26,1,1500.0,2000.0,539.0,1300.0,266.0,https://www.reyrey.com/,Private,6,"Dayton, OH",1866.0,0.25,0.47,0.28,3.1,3.2,3.5,5,1,1,0,1,1,0,0,0,0,1,0,0,0,3,1,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,4,1,0,0,1,0,0,0,1,1,0,0,2,0,1,1,0,0,Information Technology, OH,0
Bank of the West,Banks & Credit Unions,27,3,1400.0,3200.0,470.0,254.0,353.0,https://www.bankofthewest.com/,Subsidiary or Business Segment,6,"San Francisco, CA",1874.0,0.56,0.24,0.2,2.5,3.6,3.5,5,1,1,0,1,0,1,0,0,0,0,1,0,0,3,0,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,3,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,1,Finance, CA,0
Atos-Syntel,IT Services,29,3,4700.0,6600.0,4.0,975.0,847.0,https://www.atos-syntel.net/,Subsidiary or Business Segment,5,"Troy, MI",1980.0,0.66,0.14,0.2,2.8,2.5,3.5,8,1,1,1,1,1,1,0,1,0,0,0,0,1,4,0,1,0,0,1,1,0,1,0,3,1,1,0,0,0,0,0,0,1,0,4,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,2,0,1,1,0,0,Information Technology, MI,0
Fresenius Medical Care - North America,Health Care Services & Hospitals,25,3,2200.0,3200.0,5000.0,353.0,732.0,https://jobs.fmcna.com/,Subsidiary or Business Segment,8,"Waltham, MA",1996.0,0.69,0.17,0.14,2.6,3.6,3.6,12,1,1,1,1,1,1,1,1,1,1,1,0,1,5,0,1,1,1,0,1,0,1,0,8,1,1,0,1,1,0,1,1,1,1,6,1,1,1,1,1,1,9,1,0,1,1,1,0,1,1,1,1,1,3,0,1,1,0,1,Health Care Services & Hospitals, MA,0
Ulta Beauty,Beauty & Personal Accessories Stores,1,3,6300.0,9400.0,7000.0,1500.0,1300.0,https://www.ulta.com/,Public,7,"Bolingbrook, IL",1990.0,0.69,0.14,0.17,2.1,3.4,3.6,9,1,1,1,1,0,1,1,1,1,0,0,0,1,3,0,1,1,0,1,0,0,0,0,4,1,0,0,0,0,0,1,0,1,1,4,1,1,1,0,0,1,5,1,1,1,0,0,1,0,0,1,0,0,2,0,1,1,0,0,Retail, IL,0
Banner Health,Health Care Services & Hospitals,33,2,2100.0,3100.0,2600.0,346.0,610.0,https://www.bannerhealth.com/,Nonprofit Organization,2,"Phoenix, AZ",1999.0,0.68,0.15,0.17,2.7,3.3,3.5,10,1,1,1,1,1,1,1,1,0,0,1,0,1,3,0,1,1,0,1,0,0,0,0,3,1,0,0,0,0,0,0,1,1,0,4,1,1,1,0,0,1,4,1,0,1,0,0,0,1,0,0,0,1,3,1,1,0,0,1,Health Care Services & Hospitals, AZ,0
Allscripts,Computer Hardware & Software,31,2,1900.0,1700.0,608.0,408.0,736.0,https://www.allscripts.com/,Public,5,"Chicago, IL",1986.0,0.63,0.21,0.17,2.9,3.6,3.5,10,1,1,1,1,1,1,1,1,1,0,0,0,1,5,0,1,1,1,1,1,0,0,0,4,1,1,0,0,0,0,0,1,1,0,3,1,0,1,0,0,1,5,0,0,1,0,1,0,1,0,1,0,1,3,0,1,1,0,1,Information Technology, IL,0
US Foods,Wholesale,25,3,1700.0,3500.0,816.0,273.0,435.0,https://www.usfoods.com/,Public,8,"Rosemont, IL",2000.0,0.58,0.26,0.16,2.6,3.8,3.5,10,1,1,1,1,1,1,1,1,0,0,1,0,1,5,1,1,1,1,0,1,0,0,0,5,1,1,0,0,0,0,0,1,1,1,4,1,1,1,0,0,1,5,1,0,1,1,0,0,1,0,1,0,0,3,0,1,1,0,1,Business Services, IL,0
Vanguard,Investment Banking & Asset Management,23,3,3200.0,5200.0,371.0,1300.0,1200.0,https://www.vanguard.com/,Private,1,"Malvern, PA",1975.0,0.67,0.11,0.22,2.9,4.3,3.6,7,1,1,1,1,1,1,0,0,0,1,0,0,0,3,0,1,1,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,5,1,1,1,1,0,1,7,1,1,1,1,0,0,1,0,1,0,1,4,1,1,1,0,1,Finance, PA,0
Kelly,Staffing & Outsourcing,40,2,5800.0,4800.0,21300.0,1000.0,1000.0,https://www.kellyservices.com/,Public,7,"Troy, MI",1946.0,0.68,0.15,0.17,2.2,2.6,3.5,10,1,1,1,1,1,1,0,1,1,0,1,0,1,4,0,1,1,0,1,0,0,1,0,5,1,1,0,0,0,0,1,0,1,1,5,1,1,1,1,0,1,6,1,0,1,1,0,1,1,0,1,0,0,3,0,1,1,0,1,Business Services, MI,0
Santander,Banks & Credit Unions,42,3,9400.0,3700.0,570.0,1300.0,3000.0,https://www.santander.com/,Private,8,"Madrid, Spain",1856.0,0.65,0.16,0.18,2.8,3.6,3.6,13,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,0,0,1,0,6,1,1,0,0,1,0,0,1,1,1,5,1,1,1,1,0,1,8,1,1,1,0,1,0,1,1,1,0,1,5,1,1,1,1,1,Finance, Spain,0
Citizens Bank,Banks & Credit Unions,32,3,2700.0,4900.0,650.0,507.0,859.0,https://www.citizenscareers.com/,Public,7,"Providence, RI",1988.0,0.61,0.17,0.22,2.6,3.5,3.5,12,1,1,1,1,1,1,1,1,1,0,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,0,1,1,1,1,5,1,1,1,1,0,1,5,1,0,1,0,0,0,1,0,1,0,1,4,1,1,1,0,1,Finance, RI,0
Waste Management,Building & Personnel Services,25,3,2200.0,5100.0,1400.0,472.0,626.0,https://www.wm.com/,Public,8,"Houston, TX",1971.0,0.55,0.26,0.19,2.7,4.0,3.5,11,1,1,1,1,1,1,1,1,0,0,1,1,1,4,0,1,1,1,1,0,0,0,0,4,1,0,0,1,0,0,0,1,1,0,4,1,1,1,0,0,1,5,1,0,1,0,0,0,1,0,1,0,1,2,0,1,1,0,0,Business Services, TX,0
Allstate,Insurance Agencies & Brokerages,24,3,6500.0,9000.0,696.0,1700.0,2200.0,https://www.allstate.com/,Public,8,"Northbrook, IL",1931.0,0.6,0.18,0.22,2.7,3.4,3.5,10,1,1,1,1,1,1,1,1,0,0,0,1,1,6,1,1,1,0,1,0,0,1,1,6,1,1,0,0,0,0,1,1,1,1,4,1,1,1,0,0,1,6,1,0,1,1,0,0,1,0,1,0,1,4,1,1,1,0,1,Insurance, IL,0
Wellstar Health System,Health Care Services & Hospitals,17,3,1100.0,1500.0,1700.0,214.0,269.0,https://www.wellstarcareers.org/,Nonprofit Organization,4,"Marietta, GA",1992.0,0.63,0.21,0.16,2.5,3.2,3.6,6,1,1,1,1,1,0,0,1,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,4,1,0,0,1,0,1,1,0,0,0,3,1,1,0,0,0,1,3,1,0,1,1,0,0,0,0,0,0,0,3,0,0,1,1,1,Health Care Services & Hospitals, GA,0
AECOM,Architectural & Engineering Services,25,3,6300.0,8400.0,4400.0,1100.0,1800.0,https://www.aecom.com/,Public,8,"Los Angeles, CA",1990.0,0.69,0.11,0.21,2.6,3.2,3.6,11,1,1,1,1,1,1,1,1,1,0,1,0,1,5,0,1,1,1,0,1,0,0,1,7,1,1,0,0,1,0,1,1,1,1,4,1,1,1,0,0,1,8,1,0,1,1,1,0,1,1,1,0,1,3,1,0,1,0,1,Business Services, CA,0
Regions Financial,Banks & Credit Unions,32,3,2100.0,3900.0,862.0,475.0,661.0,https://www.regions.com/,Public,7,"Birmingham, AL",1971.0,0.65,0.14,0.21,2.7,3.9,3.5,11,1,1,1,1,1,1,1,1,1,0,1,0,1,6,1,1,1,0,1,0,0,1,1,5,1,0,0,0,0,1,0,1,1,1,5,1,1,1,1,0,1,5,1,0,1,0,0,0,1,0,1,0,1,4,1,1,1,0,1,Finance, AL,0
The Salvation Army,Religious Organizations,26,2,2400.0,2500.0,4000.0,323.0,578.0,https://www.salvationarmy.org/,Nonprofit Organization,1,"London, United Kingdom",1865.0,0.64,0.2,0.16,2.3,3.5,3.6,8,1,1,0,1,0,1,1,1,1,0,0,0,1,5,1,1,1,0,1,0,0,0,1,6,1,0,0,0,0,1,1,1,1,1,5,1,1,1,1,0,1,5,0,0,1,1,1,0,1,0,1,0,0,4,0,1,1,1,1,Non-Profit, United Kingdom,0
Johnson Controls,Industrial Manufacturing,45,3,5000.0,6100.0,3100.0,838.0,1200.0,https://www.johnsoncontrols.com/,Public,8,"Cork, Ireland",1885.0,0.64,0.17,0.18,2.8,3.6,3.5,10,1,1,1,1,1,1,1,1,1,0,0,0,1,5,1,1,1,1,0,0,0,0,1,3,1,0,0,0,0,0,0,1,1,0,4,1,1,1,0,0,1,4,1,0,1,0,0,0,1,0,0,0,1,4,1,1,1,0,1,Manufacturing, Ireland,0
Unisys,IT Services,33,3,3500.0,2100.0,409.0,526.0,1000.0,https://www.unisys.com/,Public,6,"Blue Bell, PA",1886.0,0.67,0.16,0.17,2.7,3.0,3.6,8,1,1,1,1,1,1,0,1,0,0,0,0,1,3,0,1,0,0,0,1,0,0,1,4,0,1,0,0,0,0,1,0,1,1,5,1,1,1,1,0,1,3,1,0,1,0,0,0,1,0,0,0,0,3,0,1,1,0,1,Information Technology, PA,0
Stanley Black & Decker,Industrial Manufacturing,31,3,1700.0,2000.0,1100.0,300.0,468.0,https://www.stanleyblackanddecker.com/,Public,8,"New Britain, CT",1843.0,0.63,0.2,0.17,2.8,3.7,3.6,10,1,1,1,1,1,1,1,1,0,0,1,0,1,5,0,1,1,1,0,1,0,0,1,4,1,0,0,0,1,0,0,0,1,1,3,1,0,1,0,0,1,4,1,0,1,0,0,0,1,0,0,0,1,4,1,1,1,0,1,Manufacturing, CT,0
Vivint Smart Home,Security Services,26,3,2000.0,1800.0,547.0,285.0,525.0,https://www.vivint.com/,Public,5,"Provo, UT",1998.0,0.6,0.2,0.19,2.1,3.0,3.6,7,1,1,0,1,1,1,0,0,0,1,0,0,1,4,0,1,0,0,1,0,1,0,1,5,1,0,0,0,0,0,1,1,1,1,5,1,1,1,0,1,1,4,1,1,0,0,0,0,1,0,1,0,0,2,0,1,1,0,0,Business Services, UT,0
Planet Fitness,"Health, Beauty, & Fitness",26,3,2300.0,2700.0,5900.0,387.0,450.0,https://www.planetfitness.com/,Public,2,"Hampton, NH",1992.0,0.63,0.17,0.2,1.8,2.5,3.5,3,1,1,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,5,0,0,0,1,0,0,1,1,1,1,3,1,1,0,1,0,0,5,1,1,0,1,0,0,1,0,1,0,0,2,0,1,1,0,0,Customer Services, NH,0
Dallas Independent School District,Preschool & Child Care,2,3,799.0,3500.0,392.0,112.0,247.0,https://www.dallasisd.org/,Education,5,"Dallas, TX",1867.0,0.56,0.21,0.23,2.7,2.7,3.5,10,1,1,1,1,1,1,1,1,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,3,1,1,1,0,0,0,4,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,Education, TX,0
Giant Eagle,Grocery Stores & Supermarkets,1,3,2000.0,2700.0,1200.0,345.0,461.0,https://jobs.gianteagle.com/,Private,7,"Pittsburgh, PA",1931.0,0.65,0.15,0.19,2.1,3.6,3.5,7,1,1,1,1,1,1,0,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,4,1,0,0,0,0,0,1,1,1,0,4,1,1,1,0,0,1,3,1,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,Retail, PA,0
Banana Republic,"Department, Clothing, & Shoe Stores",1,2,3800.0,4900.0,563.0,1000.0,799.0,https://www.bananarepublic.com/,Subsidiary or Business Segment,4,"San Francisco, CA",1983.0,0.78,0.06,0.16,2.2,3.5,3.5,10,1,1,1,1,0,1,0,1,1,1,1,1,0,7,0,1,1,1,1,1,1,0,1,5,1,1,0,0,1,0,1,0,1,0,5,1,1,1,1,0,1,5,1,1,1,0,1,0,1,0,0,0,0,5,1,1,1,1,1,Retail, CA,0
Assurant,Insurance Carriers,28,3,1900.0,2100.0,164.0,341.0,728.0,https://www.assurant.com/,Public,7,"New York, NY",1978.0,0.56,0.22,0.22,2.6,3.8,3.6,10,1,1,1,1,1,1,1,1,0,0,1,0,1,7,1,1,1,1,1,1,0,0,1,3,1,1,0,0,0,0,0,0,1,0,5,1,1,1,1,0,1,6,1,1,1,0,0,0,1,0,1,0,1,4,1,1,1,0,1,Insurance, NY,0
Cost Plus,"Department, Clothing, & Shoe Stores",6,2,1300.0,1700.0,706.0,279.0,284.0,https://www.worldmarket.com/,Public,4,"Oakland, CA",1958.0,0.74,0.09,0.17,2.1,2.8,3.5,8,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,1,1,4,1,1,1,0,0,1,3,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,Retail, CA,0
Molina Healthcare,Insurance Carriers,30,3,1400.0,1900.0,421.0,267.0,512.0,https://www.molinahealthcare.com/,Public,8,"Long Beach, CA",1980.0,0.61,0.23,0.16,2.6,3.9,3.4,8,1,1,1,1,0,1,1,1,0,0,0,0,1,4,0,1,1,1,0,1,0,0,0,3,1,1,0,0,0,0,0,0,1,0,4,1,0,1,1,0,1,5,1,0,1,1,0,0,1,0,1,0,0,4,1,1,1,0,1,Insurance, CA,0
DaVita,Health Care Services & Hospitals,25,3,3800.0,7100.0,3500.0,1100.0,1000.0,https://www.davita.com/,Public,5,"Denver, CO",1994.0,0.58,0.22,0.21,2.8,3.3,3.5,11,1,1,1,1,1,1,1,1,1,0,1,0,1,7,0,1,1,1,1,1,1,1,0,5,1,0,0,0,1,0,0,1,1,1,4,1,1,1,0,0,1,5,1,0,1,0,1,0,0,0,1,0,1,4,1,1,1,0,1,Health Care Services & Hospitals, CO,0
Waffle House,Casual Restaurants,1,3,2000.0,2600.0,1500.0,292.0,556.0,https://www.wafflehouse.com/whcareers,Private,5,"Norcross, GA",1955.0,0.7,0.13,0.17,2.0,3.4,3.5,9,1,1,0,1,0,1,1,1,0,1,1,0,1,6,0,1,1,1,1,1,0,1,0,3,1,0,0,1,0,0,0,0,1,0,4,1,1,1,0,0,1,4,0,1,1,0,0,0,1,0,1,0,0,2,0,1,1,0,0,"Restaurants, Bars & Food Services", GA,0
Mphasis,Computer Hardware & Software,33,3,4800.0,9600.0,13.0,1000.0,863.0,https://www.mphasis.com/,Public,5,"Bangalore, India",1992.0,0.69,0.15,0.16,2.7,2.8,3.5,6,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,Information Technology, India,0
Taco Bell,Fast-Food & Quick-Service Restaurants,1,3,5900.0,8700.0,28200.0,1000.0,832.0,https://www.tacobell.com/,Subsidiary or Business Segment,6,"Irvine, CA",1962.0,0.69,0.13,0.18,1.8,2.6,3.5,6,1,1,1,1,0,0,0,0,1,0,0,0,1,7,1,1,1,1,1,1,0,1,0,4,1,0,0,0,0,0,1,0,1,1,5,1,1,1,0,1,1,6,1,1,1,0,0,0,1,0,1,0,1,3,1,1,0,0,1,"Restaurants, Bars & Food Services", CA,0
AMC Entertainment,Movie Theaters,27,3,3400.0,4100.0,1000.0,899.0,806.0,https://www.amctheatres.com/,Public,6,"Leawood, KS",1920.0,0.71,0.1,0.19,2.0,2.8,3.5,6,1,0,1,1,0,0,0,1,1,0,0,0,1,3,0,1,1,0,1,0,0,0,0,4,0,0,0,0,0,0,1,1,1,1,4,1,1,1,0,0,1,5,1,1,0,0,1,0,1,0,1,0,0,3,1,1,1,0,0,"Arts, Entertainment & Recreation", KS,0
National Oilwell Varco,Oil & Gas Services,35,3,2200.0,2600.0,188.0,305.0,796.0,https://www.nov.com/,Public,8,"Houston, TX",1841.0,0.73,0.06,0.2,2.6,3.9,3.5,11,1,1,1,1,1,1,1,1,1,0,1,0,1,7,1,1,1,1,1,1,0,1,0,4,1,0,0,0,0,0,0,1,1,1,4,1,1,1,0,0,1,4,1,0,1,0,0,0,1,0,1,0,0,3,0,1,1,0,1,"Oil, Gas, Energy & Utilities", TX,0
Sutherland,Staffing & Outsourcing,25,3,4500.0,1300.0,360.0,935.0,995.0,https://www.sutherlandglobal.com/,Private,5,"Pittsford, NY",1986.0,0.66,0.16,0.18,2.3,2.6,3.5,10,1,1,1,1,1,1,1,1,0,0,1,0,1,4,1,1,1,0,1,0,0,0,0,6,1,1,0,0,0,0,1,1,1,1,5,1,1,1,1,0,1,4,1,0,1,0,1,0,0,0,0,1,0,3,0,1,1,1,0,Business Services, NY,0
Bridgestone Americas,Industrial Manufacturing,26,3,1200.0,1500.0,157.0,217.0,372.0,https://www.bridgestoneamericas.com/,Subsidiary or Business Segment,8,"Nashville, TN",1900.0,0.65,0.16,0.19,2.8,3.9,3.5,10,1,1,1,1,1,1,1,1,1,0,0,0,1,4,0,1,1,0,1,0,0,1,0,6,1,0,1,0,1,0,1,1,1,0,5,1,1,1,0,1,1,3,1,0,1,0,0,0,1,0,0,0,0,3,0,1,1,0,1,Manufacturing, TN,0
GEICO,Insurance Carriers,25,3,5400.0,7600.0,136.0,2900.0,1700.0,https://www.geico.jobs/,Subsidiary or Business Segment,8,"Chevy Chase, MD",1936.0,0.47,0.27,0.26,3.2,4.0,3.5,12,1,1,1,1,1,1,1,1,1,1,1,0,1,5,0,1,1,0,1,1,0,0,1,8,1,1,0,1,1,1,0,1,1,1,5,1,1,1,1,0,1,6,1,0,1,1,1,0,1,0,1,0,0,5,1,1,1,1,1,Insurance, MD,0
Menards,"Department, Clothing, & Shoe Stores",5,3,3500.0,4100.0,3800.0,495.0,614.0,https://www.menards.com/,Private,8,"Eau Claire, WI",1960.0,0.67,0.1,0.23,1.8,2.6,3.5,4,1,1,0,0,0,0,0,0,1,0,1,0,0,5,1,1,0,0,1,1,0,1,0,5,1,0,0,0,0,0,1,1,1,1,2,1,0,1,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,2,0,1,1,0,0,Retail, WI,0
Hitachi Consulting,Consulting,50,2,1200.0,3100.0,30.0,334.0,287.0,https://www.hitachiconsulting.com/,Subsidiary or Business Segment,4,"Dallas, TX",2000.0,0.63,0.18,0.2,2.9,3.5,3.5,4,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Business Services, TX,0
Follett,Other Retail Stores,1,3,1700.0,2300.0,2600.0,250.0,386.0,https://www.follett.com/,Private,6,"Westchester, IL",1873.0,0.68,0.14,0.18,2.1,3.0,3.5,11,1,1,0,1,1,1,1,1,1,1,1,0,1,3,0,1,1,0,0,0,0,0,1,5,1,0,0,0,0,0,1,1,1,1,4,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,Retail, IL,0
C.H. Robinson,Logistics & Supply Chain,25,3,2000.0,2800.0,348.0,625.0,505.0,https://www.chrobinson.com/,Public,8,"Eden Prairie, MN",1905.0,0.57,0.21,0.22,2.7,4.0,3.6,10,1,1,1,1,1,1,1,1,0,0,1,0,1,8,0,1,1,1,1,1,1,1,1,6,1,0,1,0,1,0,1,0,1,1,4,1,1,1,0,0,1,5,1,1,1,0,0,0,1,0,1,0,0,5,1,1,1,1,1,Transportation & Logistics, MN,0
Mercy,Health Care Services & Hospitals,25,3,1300.0,2000.0,2300.0,195.0,432.0,https://www.mercy.net/,Nonprofit Organization,3,"Chesterfield, MO",1871.0,0.66,0.16,0.19,2.7,3.7,3.5,13,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,1,1,1,4,1,1,1,0,0,1,3,1,0,1,0,0,0,0,0,0,0,1,3,0,1,1,0,1,Health Care Services & Hospitals, MO,0
Hexaware Technologies,IT Services,15,3,2400.0,4800.0,9.0,702.0,388.0,https://www.hexaware.com/,Public,4,"Mumbai, India",1990.0,0.59,0.24,0.17,2.9,3.2,3.5,6,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Information Technology, India,0
MAC Cosmetics,Consumer Products Manufacturing,8,1,1900.0,1600.0,4.0,445.0,512.0,https://www.maccosmetics.com/,Subsidiary or Business Segment,1,"New York, NY",1984.0,0.71,0.11,0.18,3.0,3.9,3.6,4,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,4,1,1,1,0,0,1,3,1,0,1,0,0,0,0,0,1,0,0,3,0,1,1,0,1,Manufacturing, NY,0
DSW,"Department, Clothing, & Shoe Stores",1,3,2600.0,3600.0,1.0,699.0,548.0,https://www.dsw.com/,Public,6,"Columbus, OH",1969.0,0.75,0.09,0.15,2.1,3.3,3.5,6,1,1,1,1,1,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,1,0,3,1,1,1,0,0,0,6,1,1,1,0,1,0,1,0,1,0,0,5,1,1,1,1,1,Retail, OH,0
Chili's Grill and Bar,Casual Restaurants,1,3,3900.0,4500.0,22000.0,609.0,434.0,https://www.chilisjobs.com/,Public,3,"Dallas, TX",1975.0,0.68,0.12,0.2,1.9,3.0,3.5,5,1,1,1,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,4,1,1,1,0,0,0,0,0,1,0,0,2,0,1,1,0,0,"Restaurants, Bars & Food Services", TX,0
TTEC,Staffing & Outsourcing,62,3,4900.0,3300.0,447.0,1000.0,1300.0,https://www.ttecjobs.com/,Public,5,"Englewood, CO",1982.0,0.67,0.16,0.17,2.1,2.9,3.4,9,1,1,1,1,1,1,1,1,0,0,0,0,1,6,1,1,1,1,1,0,0,0,1,4,1,1,0,0,0,0,1,0,1,0,4,1,1,1,0,0,1,4,1,0,1,0,0,0,0,0,1,0,1,2,0,1,0,0,1,Business Services, CO,0
Buffalo Wild Wings,Casual Restaurants,2,3,4500.0,5000.0,8500.0,708.0,582.0,https://www.buffalowildwings.com/,Private,5,"Minneapolis, MN",1982.0,0.7,0.12,0.19,1.8,2.4,3.5,7,1,1,0,1,0,0,1,1,1,0,0,0,1,4,0,1,0,1,1,0,0,1,0,4,1,1,0,0,0,0,1,1,0,0,4,1,1,1,1,0,0,5,1,1,0,0,0,0,1,0,1,1,0,2,0,1,0,0,1,"Restaurants, Bars & Food Services", MN,0
Blackbaud,Computer Hardware & Software,20,1,1000.0,1800.0,843.0,316.0,449.0,https://www.blackbaud.com/,Public,4,"Charleston, SC",1981.0,0.52,0.25,0.24,2.8,3.9,3.5,12,1,1,1,1,1,1,1,1,1,0,1,1,1,8,1,1,1,1,1,1,0,1,1,8,1,1,1,0,1,0,1,1,1,1,5,1,1,1,1,0,1,8,1,1,1,1,0,1,1,0,1,1,0,4,1,1,1,0,1,Information Technology, SC,0
Zimmer Biomet,Health Care Products Manufacturing,18,3,1600.0,2200.0,248.0,289.0,412.0,https://www.zimmerbiomet.com/,Public,7,"Warsaw, IN",1927.0,0.64,0.18,0.18,2.8,3.7,3.6,11,1,1,1,1,1,1,1,1,1,0,1,0,1,7,1,1,1,1,1,1,1,0,0,7,1,1,0,0,1,1,1,1,1,0,4,1,1,1,0,0,1,7,1,1,1,1,1,0,1,0,1,0,0,3,0,1,1,0,1,Manufacturing, IN,0
Ascension,Health Care Services & Hospitals,87,3,3000.0,4500.0,6200.0,436.0,731.0,https://jobs.ascension.org/careers-home,Nonprofit Organization,3,"Saint Louis, MO",1999.0,0.65,0.19,0.15,2.6,3.6,3.6,10,1,1,1,1,1,1,1,1,0,0,1,0,1,4,1,1,1,1,0,0,0,0,0,5,1,1,0,0,0,0,1,1,1,0,4,1,1,1,0,0,1,3,1,0,1,0,0,0,0,0,0,0,1,3,1,1,0,0,1,Health Care Services & Hospitals, MO,0
